A. Moi,Agua Gade,1876,2016,63,Face,3.75, ,Sao Tome
A. Moi,Kpime,1676,2015,70,Face,2.75, ,Togo
A. Moi,Atsae,1676,2015,70,Face,3, ,Togo
A. Moi,Akata,1680,2015,70,Face,3.5, ,Togo
A. Moi,Quilla,1704,2015,70,Face,3.5, ,Peu
A. Moi,Caeeo,1315,2014,70,Face,2.75,Ciollo,Veezuela
A. Moi,Cuba,1315,2014,70,Face,3.5, ,Cuba
A. Moi,Su del Lago,1315,2014,70,Face,3.5,Ciollo,Veezuela
A. Moi,Pueto Cabello,1319,2014,70,Face,3.75,Ciollo,Veezuela
A. Moi,Pablio,1319,2014,70,Face,4, ,Peu
A. Moi,Paama,1011,2013,70,Face,2.75, ,Paama
A. Moi,Madagasca,1011,2013,70,Face,3,Ciollo,Madagasca
A. Moi,Bazil,1011,2013,70,Face,3.25, ,Bazil
A. Moi,Equateu,1011,2013,70,Face,3.75, ,Ecuado
A. Moi,Colombie,1015,2013,70,Face,2.75, ,Colombia
A. Moi,Bimaie,1015,2013,70,Face,3, ,Buma
A. Moi,Papua New Guiea,1015,2013,70,Face,3.25, ,Papua New Guiea
A. Moi,Chuao,1015,2013,70,Face,4,Tiitaio,Veezuela
A. Moi,Piua,1019,2013,70,Face,3.25, ,Peu
A. Moi,Chachamayo Povice,1019,2013,70,Face,3.5, ,Peu
A. Moi,Chachamayo Povice,1019,2013,63,Face,4, ,Peu
A. Moi,Bolivia,797,2012,70,Face,3.5, ,Bolivia
A. Moi,Peu,797,2012,63,Face,3.75, ,Peu
Acalli,Chulucaas El Plataal,1462,2015,70,U.S.A.,3.75, ,Peu
Acalli,Tumbes Noadio,1470,2015,70,U.S.A.,3.75,Ciollo,Peu
Adi,Vaua Levu,705,2011,60,Fiji,2.75,Tiitaio,Fiji
Adi,Vaua Levu Toto-A,705,2011,80,Fiji,3.25,Tiitaio,Fiji
Adi,Vaua Levu,705,2011,88,Fiji,3.5,Tiitaio,Fiji
Adi,Vaua Levu Ami-Ami-CA,705,2011,72,Fiji,3.5,Tiitaio,Fiji
Aequae (Giaduja),Los Rios Quevedo Aiba,370,2009,55,Ecuado,2.75,Foasteo (Aiba),Ecuado
Aequae (Giaduja),Los Rios Quevedo Aiba,370,2009,70,Ecuado,3,Foasteo (Aiba),Ecuado
Ah Cacao,Tabasco,316,2009,70,Mexico,3,Ciollo,Mexico
Akesso's (Palus),Bali (west) Sukama Family Melaya aea,636,2011,75,Switzelad,3.75,Tiitaio,Idoesia
Akesso's (Palus),Madagasca Ambolikapiky P.,502,2010,75,Switzelad,2.75,Ciollo,Madagasca
Akesso's (Palus),Mote Alege D. Badeo,508,2010,75,Switzelad,2.75,Foasteo,Bazil
